Team,Year,Week,Matchup,Score
Team(Mickey Town),2019.0,3.0,3.0,107.0
Team(Rigger _),2019.0,3.0,3.0,125.0
Team(Northwest Yeshiva),2019.0,3.0,4.0,82.0
Team(Pinkiest Pinksters),2019.0,3.0,4.0,88.0
Team(Tittsburgh Feelers),2019.0,3.0,5.0,104.0
Team(California Golden Bears),2019.0,3.0,5.0,100.0
Team(California Golden Bears),2019.0,4.0,0.0,100.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,4.0,0.0,58.0
Team(Rigger _),2019.0,4.0,1.0,84.0
Team(Texas Longhorns),2019.0,4.0,1.0,92.0
Team(The Injured Reserves),2019.0,4.0,2.0,69.0
Team(Trinidad Tribal Sharks),2019.0,4.0,2.0,79.0
Team(Mickey Town),2019.0,4.0,3.0,85.0
Team(Northwest Yeshiva),2019.0,4.0,3.0,90.0
Team(Babanusa Battle Turtles),2019.0,4.0,4.0,88.0
Team(Tittsburgh Feelers),2019.0,4.0,4.0,74.0
Team(Pinkiest Pinksters),2019.0,4.0,5.0,101.0
Team(UofA Wildcats ),2019.0,4.0,5.0,71.0
Team(The Injured Reserves),2019.0,5.0,0.0,59.0
Team(Tittsburgh Feelers),2019.0,5.0,0.0,96.0
Team(Trinidad Tribal Sharks),2019.0,5.0,1.0,137.0
Team(California Golden Bears),2019.0,5.0,1.0,152.0
Team(Pinkiest Pinksters),2019.0,5.0,2.0,59.0
Team(Rigger _),2019.0,5.0,2.0,169.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,5.0,3.0,76.0
Team(Babanusa Battle Turtles),2019.0,5.0,3.0,59.0
Team(Texas Longhorns),2019.0,5.0,4.0,103.0
Team(Mickey Town),2019.0,5.0,4.0,75.0
Team(UofA Wildcats ),2019.0,5.0,5.0,102.0
Team(Northwest Yeshiva),2019.0,5.0,5.0,73.0
Team(UofA Wildcats ),2019.0,6.0,0.0,111.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,6.0,0.0,94.0
Team(Mickey Town),2019.0,6.0,1.0,79.0
Team(The Injured Reserves),2019.0,6.0,1.0,96.0
Team(Texas Longhorns),2019.0,6.0,2.0,109.0
Team(Trinidad Tribal Sharks),2019.0,6.0,2.0,73.0
Team(Northwest Yeshiva),2019.0,6.0,3.0,81.0
Team(Babanusa Battle Turtles),2019.0,6.0,3.0,80.0
Team(Rigger _),2019.0,6.0,4.0,80.0
Team(California Golden Bears),2019.0,6.0,4.0,109.0
Team(Pinkiest Pinksters),2019.0,6.0,5.0,122.0
Team(Tittsburgh Feelers),2019.0,6.0,5.0,59.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,7.0,0.0,86.0
Team(Northwest Yeshiva),2019.0,7.0,0.0,85.0
Team(Tittsburgh Feelers),2019.0,7.0,1.0,57.0
Team(Texas Longhorns),2019.0,7.0,1.0,100.0
Team(Rigger _),2019.0,7.0,2.0,85.0
Team(Trinidad Tribal Sharks),2019.0,7.0,2.0,60.0
Team(Babanusa Battle Turtles),2019.0,7.0,3.0,61.0
Team(UofA Wildcats ),2019.0,7.0,3.0,75.0
Team(The Injured Reserves),2019.0,7.0,4.0,84.0
Team(Pinkiest Pinksters),2019.0,7.0,4.0,90.0
Team(California Golden Bears),2019.0,7.0,5.0,75.0
Team(Mickey Town),2019.0,7.0,5.0,85.0
Team(California Golden Bears),2019.0,8.0,0.0,95.0
Team(Texas Longhorns),2019.0,8.0,0.0,76.0
Team(Trinidad Tribal Sharks),2019.0,8.0,1.0,139.0
Team(Northwest Yeshiva),2019.0,8.0,1.0,77.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,8.0,2.0,93.0
Team(Mickey Town),2019.0,8.0,2.0,39.0
Team(UofA Wildcats ),2019.0,8.0,3.0,86.0
Team(The Injured Reserves),2019.0,8.0,3.0,76.0
Team(Pinkiest Pinksters),2019.0,8.0,4.0,89.0
Team(Babanusa Battle Turtles),2019.0,8.0,4.0,90.0
Team(Tittsburgh Feelers),2019.0,8.0,5.0,89.0
Team(Rigger _),2019.0,8.0,5.0,151.0
Team(Rigger _),2019.0,9.0,0.0,70.0
Team(Northwest Yeshiva),2019.0,9.0,0.0,77.0
Team(California Golden Bears),2019.0,9.0,1.0,96.0
Team(Babanusa Battle Turtles),2019.0,9.0,1.0,96.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,9.0,2.0,69.0
Team(Trinidad Tribal Sharks),2019.0,9.0,2.0,90.0
Team(Pinkiest Pinksters),2019.0,9.0,3.0,90.0
Team(Mickey Town),2019.0,9.0,3.0,65.0
Team(Tittsburgh Feelers),2019.0,9.0,4.0,89.0
Team(The Injured Reserves),2019.0,9.0,4.0,94.0
Team(Texas Longhorns),2019.0,9.0,5.0,87.0
Team(UofA Wildcats ),2019.0,9.0,5.0,82.0
Team(The Injured Reserves),2019.0,10.0,0.0,92.0
Team(Babanusa Battle Turtles),2019.0,10.0,0.0,87.0
Team(Tittsburgh Feelers),2019.0,10.0,1.0,87.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,10.0,1.0,72.0
Team(Mickey Town),2019.0,10.0,2.0,61.0
Team(UofA Wildcats ),2019.0,10.0,2.0,84.0
Team(California Golden Bears),2019.0,10.0,3.0,118.0
Team(Trinidad Tribal Sharks),2019.0,10.0,3.0,88.0
Team(Texas Longhorns),2019.0,10.0,4.0,103.0
Team(Rigger _),2019.0,10.0,4.0,104.0
Team(Pinkiest Pinksters),2019.0,10.0,5.0,101.0
Team(Northwest Yeshiva),2019.0,10.0,5.0,54.0
Team(Babanusa Battle Turtles),2019.0,11.0,0.0,90.0
Team(Trinidad Tribal Sharks),2019.0,11.0,0.0,63.0
Team(California Golden Bears),2019.0,11.0,1.0,102.0
Team(Tittsburgh Feelers),2019.0,11.0,1.0,73.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,11.0,2.0,91.0
Team(The Injured Reserves),2019.0,11.0,2.0,134.0
Team(UofA Wildcats ),2019.0,11.0,3.0,61.0
Team(Rigger _),2019.0,11.0,3.0,89.0
Team(Northwest Yeshiva),2019.0,11.0,4.0,56.0
Team(Mickey Town),2019.0,11.0,4.0,78.0
Team(Pinkiest Pinksters),2019.0,11.0,5.0,72.0
Team(Texas Longhorns),2019.0,11.0,5.0,35.0
Team(Mickey Town),2019.0,12.0,0.0,113.0
Team(Texas Longhorns),2019.0,12.0,0.0,82.0
Team(Babanusa Battle Turtles),2019.0,12.0,1.0,101.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,12.0,1.0,107.0
Team(The Injured Reserves),2019.0,12.0,2.0,61.0
Team(California Golden Bears),2019.0,12.0,2.0,120.0
Team(Trinidad Tribal Sharks),2019.0,12.0,3.0,35.0
Team(Tittsburgh Feelers),2019.0,12.0,3.0,72.0
Team(Northwest Yeshiva),2019.0,12.0,4.0,39.0
Team(UofA Wildcats ),2019.0,12.0,4.0,81.0
Team(Rigger _),2019.0,12.0,5.0,87.0
Team(Pinkiest Pinksters),2019.0,12.0,5.0,96.0
Team(Trinidad Tribal Sharks),2019.0,13.0,0.0,79.0
Team(The Injured Reserves),2019.0,13.0,0.0,87.0
Team(Rigger _),2019.0,13.0,1.0,83.0
Team(Mickey Town),2019.0,13.0,1.0,71.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,13.0,2.0,91.0
Team(California Golden Bears),2019.0,13.0,2.0,76.0
Team(Texas Longhorns),2019.0,13.0,3.0,56.0
Team(Northwest Yeshiva),2019.0,13.0,3.0,95.0
Team(Tittsburgh Feelers),2019.0,13.0,4.0,75.0
Team(Babanusa Battle Turtles),2019.0,13.0,4.0,63.0
Team(UofA Wildcats ),2019.0,13.0,5.0,115.0
Team(Pinkiest Pinksters),2019.0,13.0,5.0,45.0
Team(UofA Wildcats ),2019.0,14.0,0.0,84.0
Team(Babanusa Battle Turtles),2019.0,14.0,0.0,88.0
Team(Pinkiest Pinksters),2019.0,14.0,1.0,89.0
Team(The Injured Reserves),2019.0,14.0,1.0,70.0
Team(Rigger _),2019.0,14.0,2.0,82.0
Team(Texas Longhorns),2019.0,14.0,2.0,55.0
Team(California Golden Bears),2019.0,14.0,3.0,114.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,14.0,3.0,63.0
Team(Tittsburgh Feelers),2019.0,14.0,4.0,69.0
Team(Northwest Yeshiva),2019.0,14.0,4.0,63.0
Team(Mickey Town),2019.0,14.0,5.0,117.0
Team(Trinidad Tribal Sharks),2019.0,14.0,5.0,95.0
Team(Pinkiest Pinksters),2019.0,15.0,0.0,166.0
Team(Babanusa Battle Turtles),2019.0,15.0,0.0,126.0
Team(California Golden Bears),2019.0,15.0,1.0,112.0
Team(Rigger _),2019.0,15.0,1.0,105.0
Team(UofA Wildcats ),2019.0,15.0,2.0,79.0
Team(The Injured Reserves),2019.0,15.0,2.0,79.0
Team(Texas Longhorns),2019.0,15.0,3.0,58.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,15.0,3.0,134.0
Team(Tittsburgh Feelers),2019.0,15.0,4.0,67.0
Team(Northwest Yeshiva),2019.0,15.0,4.0,63.0
Team(Mickey Town),2019.0,15.0,5.0,90.0
Team(Trinidad Tribal Sharks),2019.0,15.0,5.0,25.0
Team(California Golden Bears),2019.0,16.0,0.0,91.0
Team(Pinkiest Pinksters),2019.0,16.0,0.0,81.0
Team(Rigger _),2019.0,16.0,1.0,95.0
Team(Babanusa Battle Turtles),2019.0,16.0,1.0,77.0
Team(UofA Wildcats ),2019.0,16.0,2.0,60.0
"Team(3 Yds, Good Thing Ur Tough)",2019.0,16.0,2.0,113.0
Team(The Injured Reserves),2019.0,16.0,3.0,86.0
Team(Texas Longhorns),2019.0,16.0,3.0,21.0
Team(Tittsburgh Feelers),2019.0,16.0,4.0,123.0
Team(Mickey Town),2019.0,16.0,4.0,107.0
Team(Trinidad Tribal Sharks),2019.0,16.0,5.0,127.0
Team(Northwest Yeshiva),2019.0,16.0,5.0,64.0
Team(Cambodia Camel Spiders),2020.0,1.0,0.0,54.0
Team(Trinidad Tribal Sharks),2020.0,1.0,0.0,91.0
Team(Northwest Yeshiva),2020.0,1.0,1.0,95.0
Team(Texas Longhorns),2020.0,1.0,1.0,124.0
Team(Tittsburgh Feelers),2020.0,1.0,2.0,91.0
Team(Babanusa Battle Turtles),2020.0,1.0,2.0,103.0
Team(Nimmo Minnows),2020.0,1.0,3.0,116.0
Team(Mickey Town),2020.0,1.0,3.0,89.0
Team(Nick Choobs),2020.0,1.0,4.0,77.0
Team(Pinkiest Pinksters),2020.0,1.0,4.0,110.0
Team(California Golden Bears),2020.0,1.0,5.0,92.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,1.0,5.0,78.0
Team(Nimmo Minnows),2020.0,2.0,0.0,105.0
Team(Northwest Yeshiva),2020.0,2.0,0.0,69.0
Team(Mickey Town),2020.0,2.0,1.0,101.0
Team(Nick Choobs),2020.0,2.0,1.0,114.0
Team(Babanusa Battle Turtles),2020.0,2.0,2.0,83.0
Team(Cambodia Camel Spiders),2020.0,2.0,2.0,84.0
Team(Pinkiest Pinksters),2020.0,2.0,3.0,102.0
Team(Texas Longhorns),2020.0,2.0,3.0,112.0
Team(Trinidad Tribal Sharks),2020.0,2.0,4.0,98.0
Team(California Golden Bears),2020.0,2.0,4.0,109.0
Team(Tittsburgh Feelers),2020.0,2.0,5.0,131.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,2.0,5.0,81.0
Team(Texas Longhorns),2020.0,3.0,0.0,128.0
Team(Nimmo Minnows),2020.0,3.0,0.0,104.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,3.0,1.0,81.0
Team(Trinidad Tribal Sharks),2020.0,3.0,1.0,89.0
Team(Tittsburgh Feelers),2020.0,3.0,2.0,99.0
Team(Cambodia Camel Spiders),2020.0,3.0,2.0,99.0
Team(Mickey Town),2020.0,3.0,3.0,88.0
Team(Pinkiest Pinksters),2020.0,3.0,3.0,77.0
Team(Northwest Yeshiva),2020.0,3.0,4.0,70.0
Team(Nick Choobs),2020.0,3.0,4.0,89.0
Team(Babanusa Battle Turtles),2020.0,3.0,5.0,85.0
Team(California Golden Bears),2020.0,3.0,5.0,87.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,4.0,0.0,121.0
Team(Cambodia Camel Spiders),2020.0,4.0,0.0,76.0
Team(Nick Choobs),2020.0,4.0,1.0,84.0
Team(Nimmo Minnows),2020.0,4.0,1.0,67.0
Team(Trinidad Tribal Sharks),2020.0,4.0,2.0,91.0
Team(Babanusa Battle Turtles),2020.0,4.0,2.0,120.0
Team(Texas Longhorns),2020.0,4.0,3.0,75.0
Team(Mickey Town),2020.0,4.0,3.0,86.0
Team(California Golden Bears),2020.0,4.0,4.0,93.0
Team(Tittsburgh Feelers),2020.0,4.0,4.0,117.0
Team(Northwest Yeshiva),2020.0,4.0,5.0,81.0
Team(Pinkiest Pinksters),2020.0,4.0,5.0,89.0
Team(Cambodia Camel Spiders),2020.0,5.0,0.0,86.0
Team(California Golden Bears),2020.0,5.0,0.0,101.0
Team(Trinidad Tribal Sharks),2020.0,5.0,1.0,95.0
Team(Tittsburgh Feelers),2020.0,5.0,1.0,81.0
Team(Pinkiest Pinksters),2020.0,5.0,2.0,66.0
Team(Nimmo Minnows),2020.0,5.0,2.0,104.0
Team(Babanusa Battle Turtles),2020.0,5.0,3.0,95.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,5.0,3.0,85.0
Team(Texas Longhorns),2020.0,5.0,4.0,107.0
Team(Nick Choobs),2020.0,5.0,4.0,112.0
Team(Mickey Town),2020.0,5.0,5.0,73.0
Team(Northwest Yeshiva),2020.0,5.0,5.0,73.0
Team(Tittsburgh Feelers),2020.0,6.0,0.0,54.0
Team(Nick Choobs),2020.0,6.0,0.0,88.0
Team(Cambodia Camel Spiders),2020.0,6.0,1.0,74.0
Team(Mickey Town),2020.0,6.0,1.0,81.0
Team(California Golden Bears),2020.0,6.0,2.0,87.0
Team(Texas Longhorns),2020.0,6.0,2.0,103.0
Team(Northwest Yeshiva),2020.0,6.0,3.0,91.0
Team(Trinidad Tribal Sharks),2020.0,6.0,3.0,66.0
Team(Nimmo Minnows),2020.0,6.0,4.0,63.0
Team(Babanusa Battle Turtles),2020.0,6.0,4.0,115.0
Team(Pinkiest Pinksters),2020.0,6.0,5.0,80.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,6.0,5.0,80.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,7.0,0.0,130.0
Team(Nimmo Minnows),2020.0,7.0,0.0,68.0
Team(Texas Longhorns),2020.0,7.0,1.0,100.0
Team(Tittsburgh Feelers),2020.0,7.0,1.0,104.0
Team(Mickey Town),2020.0,7.0,2.0,89.0
Team(Trinidad Tribal Sharks),2020.0,7.0,2.0,106.0
Team(Nick Choobs),2020.0,7.0,3.0,102.0
Team(California Golden Bears),2020.0,7.0,3.0,78.0
Team(Cambodia Camel Spiders),2020.0,7.0,4.0,83.0
Team(Pinkiest Pinksters),2020.0,7.0,4.0,100.0
Team(Babanusa Battle Turtles),2020.0,7.0,5.0,61.0
Team(Northwest Yeshiva),2020.0,7.0,5.0,78.0
Team(California Golden Bears),2020.0,8.0,0.0,130.0
Team(Mickey Town),2020.0,8.0,0.0,67.0
Team(Cambodia Camel Spiders),2020.0,8.0,1.0,88.0
Team(Northwest Yeshiva),2020.0,8.0,1.0,46.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,8.0,2.0,75.0
Team(Texas Longhorns),2020.0,8.0,2.0,86.0
Team(Nick Choobs),2020.0,8.0,3.0,86.0
Team(Trinidad Tribal Sharks),2020.0,8.0,3.0,30.0
Team(Babanusa Battle Turtles),2020.0,8.0,4.0,71.0
Team(Pinkiest Pinksters),2020.0,8.0,4.0,109.0
Team(Nimmo Minnows),2020.0,8.0,5.0,114.0
Team(Tittsburgh Feelers),2020.0,8.0,5.0,65.0
Team(Nimmo Minnows),2020.0,9.0,0.0,102.0
Team(Texas Longhorns),2020.0,9.0,0.0,71.0
Team(California Golden Bears),2020.0,9.0,1.0,87.0
Team(Trinidad Tribal Sharks),2020.0,9.0,1.0,76.0
Team(Cambodia Camel Spiders),2020.0,9.0,2.0,55.0
Team(Babanusa Battle Turtles),2020.0,9.0,2.0,73.0
Team(Pinkiest Pinksters),2020.0,9.0,3.0,82.0
Team(Nick Choobs),2020.0,9.0,3.0,85.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,9.0,4.0,107.0
Team(Tittsburgh Feelers),2020.0,9.0,4.0,95.0
Team(Northwest Yeshiva),2020.0,9.0,5.0,98.0
Team(Mickey Town),2020.0,9.0,5.0,88.0
Team(Cambodia Camel Spiders),2020.0,10.0,0.0,66.0
Team(Trinidad Tribal Sharks),2020.0,10.0,0.0,98.0
Team(Tittsburgh Feelers),2020.0,10.0,1.0,77.0
Team(California Golden Bears),2020.0,10.0,1.0,79.0
Team(Nick Choobs),2020.0,10.0,2.0,110.0
Team(Mickey Town),2020.0,10.0,2.0,49.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,10.0,3.0,92.0
Team(Babanusa Battle Turtles),2020.0,10.0,3.0,42.0
Team(Nimmo Minnows),2020.0,10.0,4.0,85.0
Team(Pinkiest Pinksters),2020.0,10.0,4.0,73.0
Team(Texas Longhorns),2020.0,10.0,5.0,63.0
Team(Northwest Yeshiva),2020.0,10.0,5.0,87.0
Team(Tittsburgh Feelers),2020.0,11.0,0.0,97.0
Team(Trinidad Tribal Sharks),2020.0,11.0,0.0,105.0
Team(California Golden Bears),2020.0,11.0,1.0,92.0
Team(Babanusa Battle Turtles),2020.0,11.0,1.0,55.0
Team(Cambodia Camel Spiders),2020.0,11.0,2.0,80.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,11.0,2.0,97.0
Team(Nick Choobs),2020.0,11.0,3.0,81.0
Team(Texas Longhorns),2020.0,11.0,3.0,80.0
Team(Northwest Yeshiva),2020.0,11.0,4.0,85.0
Team(Nimmo Minnows),2020.0,11.0,4.0,104.0
Team(Pinkiest Pinksters),2020.0,11.0,5.0,90.0
Team(Mickey Town),2020.0,11.0,5.0,84.0
Team(Mickey Town),2020.0,12.0,0.0,74.0
Team(Texas Longhorns),2020.0,12.0,0.0,87.0
Team(Babanusa Battle Turtles),2020.0,12.0,1.0,70.0
Team(Trinidad Tribal Sharks),2020.0,12.0,1.0,123.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,12.0,2.0,87.0
Team(California Golden Bears),2020.0,12.0,2.0,91.0
Team(Cambodia Camel Spiders),2020.0,12.0,3.0,80.0
Team(Tittsburgh Feelers),2020.0,12.0,3.0,113.0
Team(Pinkiest Pinksters),2020.0,12.0,4.0,132.0
Team(Northwest Yeshiva),2020.0,12.0,4.0,68.0
Team(Nimmo Minnows),2020.0,12.0,5.0,110.0
Team(Nick Choobs),2020.0,12.0,5.0,103.0
Team(California Golden Bears),2020.0,13.0,0.0,88.0
Team(Cambodia Camel Spiders),2020.0,13.0,0.0,88.0
Team(Mickey Town),2020.0,13.0,1.0,91.0
Team(Nimmo Minnows),2020.0,13.0,1.0,66.0
Team(Trinidad Tribal Sharks),2020.0,13.0,2.0,103.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,13.0,2.0,123.0
Team(Texas Longhorns),2020.0,13.0,3.0,63.0
Team(Pinkiest Pinksters),2020.0,13.0,3.0,75.0
Team(Babanusa Battle Turtles),2020.0,13.0,4.0,64.0
Team(Tittsburgh Feelers),2020.0,13.0,4.0,83.0
Team(Nick Choobs),2020.0,13.0,5.0,83.0
Team(Northwest Yeshiva),2020.0,13.0,5.0,69.0
Team(Nick Choobs),2020.0,14.0,0.0,98.0
Team(Tittsburgh Feelers),2020.0,14.0,0.0,83.0
Team(Pinkiest Pinksters),2020.0,14.0,1.0,118.0
Team(Trinidad Tribal Sharks),2020.0,14.0,1.0,89.0
Team(Nimmo Minnows),2020.0,14.0,2.0,127.0
Team(Texas Longhorns),2020.0,14.0,2.0,96.0
Team(California Golden Bears),2020.0,14.0,3.0,73.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,14.0,3.0,89.0
Team(Babanusa Battle Turtles),2020.0,14.0,4.0,72.0
Team(Cambodia Camel Spiders),2020.0,14.0,4.0,86.0
Team(Northwest Yeshiva),2020.0,14.0,5.0,65.0
Team(Mickey Town),2020.0,14.0,5.0,78.0
Team(Nick Choobs),2020.0,15.0,0.0,99.0
Team(Pinkiest Pinksters),2020.0,15.0,0.0,111.0
Team(Nimmo Minnows),2020.0,15.0,1.0,106.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,15.0,1.0,97.0
Team(California Golden Bears),2020.0,15.0,2.0,109.0
Team(Trinidad Tribal Sharks),2020.0,15.0,2.0,75.0
Team(Texas Longhorns),2020.0,15.0,3.0,64.0
Team(Tittsburgh Feelers),2020.0,15.0,3.0,86.0
Team(Mickey Town),2020.0,15.0,4.0,89.0
Team(Cambodia Camel Spiders),2020.0,15.0,4.0,81.0
Team(Northwest Yeshiva),2020.0,15.0,5.0,97.0
Team(Babanusa Battle Turtles),2020.0,15.0,5.0,79.0
Team(Nimmo Minnows),2020.0,16.0,0.0,57.0
Team(Pinkiest Pinksters),2020.0,16.0,0.0,51.0
Team(Nick Choobs),2020.0,16.0,1.0,110.0
"Team(3 Yds, Good Thing Ur Tough)",2020.0,16.0,1.0,107.0
Team(California Golden Bears),2020.0,16.0,2.0,105.0
Team(Tittsburgh Feelers),2020.0,16.0,2.0,111.0
Team(Trinidad Tribal Sharks),2020.0,16.0,3.0,127.0
Team(Texas Longhorns),2020.0,16.0,3.0,69.0
Team(Northwest Yeshiva),2020.0,16.0,4.0,61.0
Team(Mickey Town),2020.0,16.0,4.0,78.0
Team(Babanusa Battle Turtles),2020.0,16.0,5.0,57.0
Team(Cambodia Camel Spiders),2020.0,16.0,5.0,96.0
Team(California Golden Bears),2021.0,1.0,0.0,82.0
"Team(400 Yds, Good Thing Ur Tough)",2021.0,1.0,0.0,88.0
Team(Trinidad Tribal Sharks),2021.0,1.0,1.0,83.0
Team(Babanusa Battle Turtles),2021.0,1.0,1.0,115.0
Team(Cambodia Camel Spiders),2021.0,1.0,2.0,100.0
Team(Tittsburgh Feelers),2021.0,1.0,2.0,114.0
Team(Mickey Town),2021.0,1.0,3.0,68.0
Team(Nick Choobs),2021.0,1.0,3.0,112.0
Team(Nimmo Minnows),2021.0,1.0,4.0,104.0
Team(Pinkiest Pinksters),2021.0,1.0,4.0,115.0
Team(Northwest Yeshiva),2021.0,1.0,5.0,91.0
Team(Texas Longhorns),2021.0,1.0,5.0,92.0
"Team(400 Yds, Good Thing Ur Tough)",2021.0,2.0,0.0,86.0
Team(Tittsburgh Feelers),2021.0,2.0,0.0,83.0
Team(Trinidad Tribal Sharks),2021.0,2.0,1.0,115.0
Team(Cambodia Camel Spiders),2021.0,2.0,1.0,85.0
Team(Babanusa Battle Turtles),2021.0,2.0,2.0,117.0
Team(California Golden Bears),2021.0,2.0,2.0,71.0
Team(Pinkiest Pinksters),2021.0,2.0,3.0,83.0
Team(Texas Longhorns),2021.0,2.0,3.0,85.0
Team(Nick Choobs),2021.0,2.0,4.0,61.0
Team(Nimmo Minnows),2021.0,2.0,4.0,141.0
Team(Mickey Town),2021.0,2.0,5.0,85.0
Team(Northwest Yeshiva),2021.0,2.0,5.0,51.0
Team(California Golden Bears),2021.0,3.0,0.0,96.0
Team(Cambodia Camel Spiders),2021.0,3.0,0.0,88.0
Team(Tittsburgh Feelers),2021.0,3.0,1.0,112.0
Team(Trinidad Tribal Sharks),2021.0,3.0,1.0,65.0
Team(Babanusa Battle Turtles),2021.0,3.0,2.0,75.0
"Team(400 Yds, Good Thing Ur Tough)",2021.0,3.0,2.0,121.0
Team(Nimmo Minnows),2021.0,3.0,3.0,86.0
Team(Northwest Yeshiva),2021.0,3.0,3.0,83.0
Team(Texas Longhorns),2021.0,3.0,4.0,55.0
Team(Mickey Town),2021.0,3.0,4.0,81.0
Team(Nick Choobs),2021.0,3.0,5.0,75.0
Team(Pinkiest Pinksters),2021.0,3.0,5.0,108.0
Team(Cambodia Camel Spiders),2021.0,4.0,0.0,63.0
Team(Babanusa Battle Turtles),2021.0,4.0,0.0,88.0
Team(Tittsburgh Feelers),2021.0,4.0,1.0,104.0
Team(California Golden Bears),2021.0,4.0,1.0,86.0
"Team(400 Yds, Good Thing Ur Tough)",2021.0,4.0,2.0,117.0
Team(Trinidad Tribal Sharks),2021.0,4.0,2.0,91.0
Team(Pinkiest Pinksters),2021.0,4.0,3.0,108.0
Team(Mickey Town),2021.0,4.0,3.0,81.0
Team(Texas Longhorns),2021.0,4.0,4.0,64.0
Team(Nimmo Minnows),2021.0,4.0,4.0,98.0
Team(Northwest Yeshiva),2021.0,4.0,5.0,84.0
Team(Nick Choobs),2021.0,4.0,5.0,90.0
Team(Trinidad Tribal Sharks),2021.0,5.0,0.0,124.0
Team(California Golden Bears),2021.0,5.0,0.0,127.0
Team(Tittsburgh Feelers),2021.0,5.0,1.0,135.0
Team(Babanusa Battle Turtles),2021.0,5.0,1.0,88.0
Team(Cambodia Camel Spiders),2021.0,5.0,2.0,65.0
"Team(400 Yds, Good Thing Ur Tough)",2021.0,5.0,2.0,118.0
Team(Texas Longhorns),2021.0,5.0,3.0,45.0
Team(Nick Choobs),2021.0,5.0,3.0,99.0
Team(Mickey Town),2021.0,5.0,4.0,108.0
Team(Nimmo Minnows),2021.0,5.0,4.0,96.0
Team(Northwest Yeshiva),2021.0,5.0,5.0,67.0
Team(Pinkiest Pinksters),2021.0,5.0,5.0,137.0
Team(Nimmo Minnows),2021.0,6.0,0.0,106.0
Team(California Golden Bears),2021.0,6.0,0.0,104.0
Team(Pinkiest Pinksters),2021.0,6.0,1.0,83.0
"Team(400 Yds, Good Thing Ur Tough)",2021.0,6.0,1.0,107.0
Team(Nick Choobs),2021.0,6.0,2.0,82.0
Team(Trinidad Tribal Sharks),2021.0,6.0,2.0,83.0
Team(Cambodia Camel Spiders),2021.0,6.0,3.0,83.0
Team(Texas Longhorns),2021.0,6.0,3.0,78.0
Team(Babanusa Battle Turtles),2021.0,6.0,4.0,81.0
Team(Mickey Town),2021.0,6.0,4.0,125.0
Team(Northwest Yeshiva),2021.0,6.0,5.0,95.0
Team(Tittsburgh Feelers),2021.0,6.0,5.0,96.0
"Team(400 Yds, Good Thing Ur Tough)",2021.0,7.0,0.0,103.0
Team(Texas Longhorns),2021.0,7.0,0.0,59.0
Team(Tittsburgh Feelers),2021.0,7.0,1.0,132.0
Team(Nick Choobs),2021.0,7.0,1.0,60.0
Team(Mickey Town),2021.0,7.0,2.0,90.0
Team(Cambodia Camel Spiders),2021.0,7.0,2.0,57.0
Team(Trinidad Tribal Sharks),2021.0,7.0,3.0,81.0
Team(Nimmo Minnows),2021.0,7.0,3.0,48.0
Team(California Golden Bears),2021.0,7.0,4.0,104.0
Team(Northwest Yeshiva),2021.0,7.0,4.0,83.0
Team(Pinkiest Pinksters),2021.0,7.0,5.0,90.0
Team(Babanusa Battle Turtles),2021.0,7.0,5.0,51.0
Team(Northwest Yeshiva),2021.0,8.0,0.0,45.0
Team(Trinidad Tribal Sharks),2021.0,8.0,0.0,98.0
Team(Cambodia Camel Spiders),2021.0,8.0,1.0,94.0
Team(Pinkiest Pinksters),2021.0,8.0,1.0,80.0
Team(California Golden Bears),2021.0,8.0,2.0,104.0
Team(Nick Choobs),2021.0,8.0,2.0,65.0
Team(Nimmo Minnows),2021.0,8.0,3.0,67.0
Team(Tittsburgh Feelers),2021.0,8.0,3.0,95.0
Team(Texas Longhorns),2021.0,8.0,4.0,56.0
Team(Babanusa Battle Turtles),2021.0,8.0,4.0,64.0
